# file...... feeder_3_power.csv
# date...... Sat Sep 26 23:35:38 2009
# user...... glduser
# host...... (null)
# target.... regulator 4891
# trigger... (none)
# interval.. 300
# limit..... 312
# timestamp,power_in_A.real,power_in_A.imag,power_in_B.real,power_in_B.imag,power_in_C.real,power_in_C.imag,tap_A,tap_B,tap_C
2000-07-11 03:35:00 MDT,+3.35888e+006,+1.43167e+006,+3.3052e+006,+1.42463e+006,+3.37731e+006,+1.45486e+006,7,7,7
2000-07-11 03:40:00 MDT,+3.32536e+006,+1.42977e+006,+3.29171e+006,+1.42371e+006,+3.4086e+006,+1.45725e+006,7,7,7
2000-07-11 03:45:00 MDT,+3.3913e+006,+1.43323e+006,+3.29303e+006,+1.42332e+006,+3.4021e+006,+1.45603e+006,7,7,7
2000-07-11 03:50:00 MDT,+3.37225e+006,+1.43697e+006,+3.35089e+006,+1.43199e+006,+3.41644e+006,+1.46223e+006,7,7,7
2000-07-11 03:55:00 MDT,+3.41774e+006,+1.43913e+006,+3.33575e+006,+1.4308e+006,+3.42347e+006,+1.4619e+006,7,7,7
2000-07-11 04:00:00 MDT,+3.39552e+006,+1.43781e+006,+3.35715e+006,+1.43168e+006,+3.43939e+006,+1.4628e+006,7,7,7
2000-07-11 04:05:00 MDT,+3.4487e+006,+1.44687e+006,+3.36393e+006,+1.43793e+006,+3.44297e+006,+1.46891e+006,7,7,7
2000-07-11 04:10:00 MDT,+3.4194e+006,+1.44561e+006,+3.37228e+006,+1.43898e+006,+3.41085e+006,+1.46765e+006,7,7,7
2000-07-11 04:15:00 MDT,+3.39216e+006,+1.44407e+006,+3.36011e+006,+1.43823e+006,+3.43365e+006,+1.46918e+006,7,7,7
2000-07-11 04:20:00 MDT,+3.47504e+006,+1.46073e+006,+3.4549e+006,+1.45517e+006,+3.52219e+006,+1.48639e+006,7,7,7
2000-07-11 04:25:00 MDT,+3.41774e+006,+1.45965e+006,+3.3783e+006,+1.45273e+006,+3.45848e+006,+1.4848e+006,7,7,7
2000-07-11 04:30:00 MDT,+3.34452e+006,+1.45674e+006,+3.34308e+006,+1.45248e+006,+3.40682e+006,+1.4833e+006,7,7,7
2000-07-11 04:35:00 MDT,+3.42878e+006,+1.47256e+006,+3.39589e+006,+1.46634e+006,+3.46815e+006,+1.49786e+006,7,7,7
2000-07-11 04:40:00 MDT,+3.55131e+006,+1.47673e+006,+3.48951e+006,+1.46831e+006,+3.57792e+006,+1.50084e+006,7,7,7
