$state_name=Virginia
$city_name=Charlottesville
$lat_deg=38.090
$long_deg=-78.460
$elevation=148
$timezone_offset=-75.0
temperature,humidity,solar_direct,solar_diffuse,pressure,wind_speed
1:11:7:0:0,27.860,66.479,0.000,0.000,1015.000,1.118
1:11:8:0:0,27.500,68.521,0.000,0.000,1015.000,1.342
1:11:9:0:0,27.140,70.625,0.000,0.000,1016.000,1.342
1:11:10:0:0,26.600,73.903,0.000,0.000,1016.000,1.342
1:11:11:0:0,25.880,79.115,0.000,0.000,1017.000,1.118
1:11:12:0:0,27.500,77.466,0.000,0.000,1017.000,0.895
1:11:13:0:0,31.460,63.452,55.463,3.716,1018.000,1.118
1:11:14:0:0,35.420,52.115,73.208,5.295,1018.000,1.342
1:11:15:0:0,38.300,47.243,81.383,6.039,1018.000,1.342
1:11:16:0:0,40.460,44.780,43.664,15.608,1017.000,1.566
1:11:17:0:0,41.720,44.647,43.572,16.444,1016.000,1.566
1:11:18:0:0,42.260,46.462,34.932,16.815,1015.000,1.566
1:11:19:0:0,41.360,52.249,46.823,11.055,1014.000,1.342
1:11:20:0:0,37.940,66.731,19.603,9.662,1014.000,0.895
1:11:21:0:0,33.980,81.582,11.706,3.809,1014.000,0.671
1:11:22:0:0,32.540,83.917,0.000,0.000,1014.000,0.671
1:11:23:0:0,32.540,85.163,0.000,0.000,1014.000,0.671
1:12:0:0:0,32.000,87.677,0.000,0.000,1014.000,0.671
1:12:1:0:0,31.640,88.959,0.000,0.000,1014.000,0.895
1:12:2:0:0,31.640,88.959,0.000,0.000,1013.000,0.895
1:12:3:0:0,32.000,88.325,0.000,0.000,1013.000,0.895
1:12:4:0:0,32.360,88.343,0.000,0.000,1013.000,0.895
1:12:5:0:0,32.540,88.352,0.000,0.000,1013.000,0.895
1:12:6:0:0,32.540,88.352,0.000,0.000,1013.000,0.895
1:12:7:0:0,32.540,89.002,0.000,0.000,1012.000,0.895
1:12:8:0:0,32.720,88.361,0.000,0.000,1012.000,0.895
1:12:9:0:0,33.080,88.379,0.000,0.000,1012.000,0.895
1:12:10:0:0,33.620,87.763,0.000,0.000,1012.000,0.895
1:12:11:0:0,34.160,87.791,0.000,0.000,1012.000,0.895
1:12:12:0:0,35.240,86.581,0.000,0.000,1013.000,0.895
1:12:13:0:0,37.040,84.216,0.000,1.301,1013.000,0.895
1:12:14:0:0,39.560,80.831,0.000,4.924,1013.000,0.895
1:12:15:0:0,42.440,77.670,0.000,12.914,1012.000,0.895
1:12:16:0:0,45.320,75.758,0.000,0.929,1011.000,0.895
1:12:17:0:0,47.300,77.012,0.000,7.154,1011.000,0.895
1:12:18:0:0,47.840,82.594,0.000,13.378,1010.000,0.671
1:12:19:0:0,47.300,89.672,0.000,8.826,1010.000,0.671
1:12:20:0:0,46.040,96.647,0.000,2.323,1010.000,0.671
1:12:21:0:0,44.420,100.000,0.000,2.230,1010.000,0.671
1:12:22:0:0,43.880,100.000,0.000,0.000,1011.000,0.671
1:12:23:0:0,44.060,100.000,0.000,0.000,1011.000,0.671
1:13:0:0:0,42.800,100.000,0.000,0.000,1010.000,0.671
1:13:1:0:0,42.440,100.000,0.000,0.000,1010.000,0.671
1:13:2:0:0,42.440,98.625,0.000,0.000,1010.000,0.671
1:13:3:0:0,42.440,97.944,0.000,0.000,1009.000,0.671
1:13:4:0:0,42.260,96.591,0.000,0.000,1009.000,0.671
1:13:5:0:0,42.080,97.262,0.000,0.000,1009.000,0.671
1:13:6:0:0,41.900,96.585,0.000,0.000,1008.000,0.671
1:13:7:0:0,41.900,95.915,0.000,0.000,1008.000,0.671
1:13:8:0:0,41.720,96.583,0.000,0.000,1008.000,0.671
1:13:9:0:0,41.900,95.249,0.000,0.000,1007.000,0.671
1:13:10:0:0,42.080,95.252,0.000,0.000,1007.000,0.671
1:13:11:0:0,42.260,95.256,0.000,0.000,1007.000,0.671
1:13:12:0:0,42.980,93.957,0.000,0.000,1007.000,0.671
1:13:13:0:0,45.320,89.585,0.000,3.159,1007.000,0.895
1:13:14:0:0,48.200,86.693,0.557,10.312,1008.000,0.895
1:13:15:0:0,51.260,82.831,35.396,14.493,1008.000,1.118
1:13:16:0:0,54.500,78.171,18.116,20.160,1007.000,1.118
1:13:17:0:0,57.560,74.342,25.455,20.346,1006.000,1.342
1:13:18:0:0,59.900,72.609,12.263,19.695,1005.000,1.118
1:13:19:0:0,60.080,76.080,5.203,15.143,1005.000,0.895
1:13:20:0:0,57.560,87.767,16.723,10.126,1005.000,0.671
1:13:21:0:0,54.860,94.880,0.000,2.137,1006.000,0.671
1:13:22:0:0,53.600,96.117,0.000,0.000,1006.000,0.671
1:13:23:0:0,53.240,97.392,0.000,0.000,1006.000,0.671
1:14:0:0:0,52.340,100.000,0.000,0.000,1006.000,0.671
1:14:1:0:0,52.160,100.000,0.000,0.000,1006.000,0.671
1:14:2:0:0,52.340,100.000,0.000,0.000,1006.000,0.671
1:14:3:0:0,52.520,100.000,0.000,0.000,1006.000,0.671
1:14:4:0:0,52.340,100.000,0.000,0.000,1005.000,0.671
1:14:5:0:0,51.620,100.000,0.000,0.000,1005.000,0.447
1:14:6:0:0,51.260,100.000,0.000,0.000,1005.000,0.447
1:14:7:0:0,50.900,100.000,0.000,0.000,1005.000,0.671
1:14:8:0:0,50.540,100.000,0.000,0.000,1005.000,0.671
1:14:9:0:0,49.820,100.000,0.000,0.000,1004.000,0.671
1:14:10:0:0,49.460,99.331,0.000,0.000,1004.000,0.671
1:14:11:0:0,49.100,99.330,0.000,0.000,1005.000,0.671
1:14:12:0:0,50.360,93.514,0.000,0.000,1005.000,0.671
1:14:13:0:0,53.420,87.559,0.000,3.159,1005.000,0.671
1:14:14:0:0,57.560,81.078,18.766,11.520,1005.000,0.895
1:14:15:0:0,61.700,75.726,15.979,17.001,1005.000,0.895
1:14:16:0:0,64.220,73.519,20.810,20.067,1004.000,1.118
