"rec_id","invensys_acct_id","invensys_device_type_id","instance_id","kfactor","rec_create_date","rec_last_update_date"
130,1461,5,1,0,"2006-02-28 15:13:22","2006-02-28 15:13:22"
131,1462,5,1,0,"2006-02-28 15:13:22","2006-02-28 15:13:22"
132,1463,5,1,0,"2006-02-28 15:13:22","2006-02-28 15:13:22"
133,1464,5,1,0,"2006-02-28 15:13:22","2006-02-28 15:13:22"
134,1465,5,1,0,"2006-02-28 15:13:22","2006-02-28 15:13:22"
135,1466,5,1,0,"2006-02-28 15:13:23","2006-02-28 15:13:23"
136,1467,5,1,0,"2006-02-28 15:13:23","2006-02-28 15:13:23"
137,1468,5,1,0,"2006-02-28 15:13:23","2006-02-28 15:13:23"
138,1469,5,1,0,"2006-02-28 15:13:23","2006-02-28 15:13:23"
139,1470,5,1,0,"2006-02-28 15:13:23","2006-02-28 15:13:23"
140,1471,5,1,0,"2006-02-28 15:13:23","2006-02-28 15:13:23"
141,1472,5,1,0,"2006-02-28 15:13:23","2006-02-28 15:13:23"
142,1473,5,1,0,"2006-02-28 15:13:23","2006-02-28 15:13:23"
143,1474,5,1,0,"2006-02-28 15:13:23","2006-02-28 15:13:23"
144,1475,5,1,0,"2006-02-28 15:13:23","2006-02-28 15:13:23"
145,1477,5,1,0,"2006-02-28 15:13:23","2006-02-28 15:13:23"
146,1479,5,1,0,"2006-02-28 15:13:23","2006-02-28 15:13:23"
147,1480,5,1,0,"2006-02-28 15:13:23","2006-02-28 15:13:23"
148,1482,5,1,0,"2006-02-28 15:13:23","2006-02-28 15:13:23"
149,1483,5,1,0,"2006-02-28 15:13:23","2006-02-28 15:13:23"
150,1484,5,1,0,"2006-02-28 15:13:23","2006-02-28 15:13:23"
151,1485,5,1,0,"2006-02-28 15:13:23","2006-02-28 15:13:23"
152,1486,5,1,0,"2006-02-28 15:13:23","2006-02-28 15:13:23"
153,1487,5,1,0,"2006-02-28 15:13:23","2006-02-28 15:13:23"
154,1488,5,1,0,"2006-02-28 15:13:23","2006-02-28 15:13:23"
155,1489,5,1,0,"2006-02-28 15:13:23","2006-02-28 15:13:23"
156,1490,5,1,0,"2006-02-28 15:13:24","2006-02-28 15:13:24"
157,1491,5,1,0,"2006-02-28 15:13:24","2006-02-28 15:13:24"
158,1492,5,1,0,"2006-02-28 15:13:24","2006-02-28 15:13:24"
159,1493,5,1,0,"2006-02-28 15:13:24","2006-02-28 15:13:24"
160,1494,5,1,0,"2006-02-28 15:13:24","2006-02-28 15:13:24"
161,1495,5,1,0,"2006-02-28 15:13:24","2006-02-28 15:13:24"
162,1496,5,1,0,"2006-02-28 15:13:24","2006-02-28 15:13:24"
163,1497,5,1,0,"2006-02-28 15:13:24","2006-02-28 15:13:24"
164,1498,5,1,0,"2006-02-28 15:13:24","2006-02-28 15:13:24"
165,1499,5,1,0,"2006-02-28 15:13:24","2006-02-28 15:13:24"
166,1500,5,1,0,"2006-02-28 15:13:24","2006-02-28 15:13:24"
167,1501,5,1,0,"2006-02-28 15:13:24","2006-02-28 15:13:24"
168,1502,5,1,0,"2006-02-28 15:13:24","2006-02-28 15:13:24"
169,1503,5,1,0,"2006-02-28 15:13:24","2006-02-28 15:13:24"
170,1504,5,1,0,"2006-02-28 15:13:24","2006-02-28 15:13:24"
171,1505,5,2,0,"2006-02-28 15:13:24","2006-02-28 15:13:24"
172,1509,5,2,0,"2006-02-28 15:13:25","2006-10-20 21:12:29"
173,1511,5,2,0,"2006-02-28 15:13:25","2006-02-28 15:13:25"
174,1512,5,2,0,"2006-02-28 15:13:25","2006-02-28 15:13:25"
175,1517,5,2,0,"2006-02-28 15:13:25","2006-02-28 15:13:25"
176,1519,5,2,0,"2006-02-28 15:13:26","2006-02-28 15:13:26"
177,1523,5,2,1,"2006-02-28 15:13:26","2006-06-07 13:11:04"
178,1527,5,2,1,"2006-02-28 15:13:27","2006-06-07 13:03:08"
179,1536,5,2,0,"2006-02-28 15:13:28","2006-02-28 15:13:28"
180,1537,5,2,1,"2006-02-28 15:13:28","2006-06-07 13:11:08"
181,1549,5,2,0,"2006-03-02 15:14:35","2006-03-02 15:14:35"
182,431,5,2,0,"2006-03-02 15:15:10","2006-03-02 15:15:10"
183,1323,5,2,0,"2006-03-02 15:15:29","2006-03-02 15:15:29"
184,166,5,3,0,"2006-03-03 08:16:25","2006-03-03 08:16:25"
185,541,5,2,1,"2006-03-22 05:29:37","2006-10-24 13:28:24"
186,1327,5,2,1,"2006-03-22 05:29:42","2006-06-07 13:02:57"
187,1560,5,2,0,"2006-03-22 11:37:35","2006-03-22 11:37:35"
188,1551,5,2,0,"2006-03-28 10:37:36","2006-03-28 10:37:36"
189,1526,5,2,1,"2006-04-17 15:05:23","2006-06-07 13:11:06"
190,1529,5,2,0,"2006-04-25 12:17:29","2006-09-05 10:07:34"
191,1521,5,2,0,"2006-05-03 12:02:01","2006-05-03 12:02:01"
192,1568,5,2,0,"2006-05-05 11:52:52","2006-05-05 11:52:52"
193,1567,5,2,1,"2006-05-05 12:05:33","2006-06-07 13:11:10"
194,1563,5,3,0,"2006-05-22 10:11:03","2006-05-22 10:11:03"
