# file...... ../data_powRecorderA.csv
# date...... Wed Apr 26 14:48:24 2017
# user...... gour967
# host...... (null)
# target.... meter 13
# trigger... (none)
# interval.. 1
# limit..... 0
# timestamp,measured_power_A
2017-03-28 00:00:06.860000 PDT,+1408.03+25.8419d
2017-03-28 00:00:06.870000 PDT,+1410.79+25.8419d
2017-03-28 00:00:06.880000 PDT,+1413.54+25.8419d
2017-03-28 00:00:06.890000 PDT,+1416.29+25.8419d
2017-03-28 00:00:06.900000 PDT,+1419.04+25.8419d
2017-03-28 00:00:06.910000 PDT,+1421.8+25.8419d
2017-03-28 00:00:06.920000 PDT,+1424.55+25.8419d
2017-03-28 00:00:06.930000 PDT,+1427.3+25.8419d
2017-03-28 00:00:06.940000 PDT,+1430.05+25.8419d
2017-03-28 00:00:06.950000 PDT,+1432.81+25.8419d
2017-03-28 00:00:06.960000 PDT,+1435.56+25.8419d
2017-03-28 00:00:06.970000 PDT,+1438.31+25.8419d
2017-03-28 00:00:06.980000 PDT,+1441.07+25.8419d
2017-03-28 00:00:06.990000 PDT,+1443.82+25.8419d
2017-03-28 00:00:07.000000 PDT,+1446.58+25.8419d
2017-03-28 00:00:07.010000 PDT,+1449.33+25.8419d
2017-03-28 00:00:07.020000 PDT,+1452.09+25.8419d
2017-03-28 00:00:07.030000 PDT,+1454.85+25.8419d
2017-03-28 00:00:07.040000 PDT,+1457.6+25.8419d
2017-03-28 00:00:07.050000 PDT,+1460.36+25.8419d
2017-03-28 00:00:07.060000 PDT,+1463.12+25.8419d
2017-03-28 00:00:07.070000 PDT,+1465.88+25.8419d
2017-03-28 00:00:07.080000 PDT,+1468.63+25.8419d
2017-03-28 00:00:07.090000 PDT,+1471.39+25.8419d
2017-03-28 00:00:07.100000 PDT,+1474.15+25.8419d
2017-03-28 00:00:07.110000 PDT,+1476.92+25.8419d
2017-03-28 00:00:07.120000 PDT,+1479.68+25.8419d
2017-03-28 00:00:07.130000 PDT,+1482.44+25.8419d
2017-03-28 00:00:07.140000 PDT,+1485.2+25.8419d
2017-03-28 00:00:07.150000 PDT,+1487.97+25.8419d
2017-03-28 00:00:07.160000 PDT,+1490.73+25.8419d
2017-03-28 00:00:07.170000 PDT,+1493.5+25.8419d
2017-03-28 00:00:07.180000 PDT,+1496.27+25.8419d
2017-03-28 00:00:07.190000 PDT,+1499.04+25.8419d
2017-03-28 00:00:07.200000 PDT,+1501.81+25.8419d
2017-03-28 00:00:07.210000 PDT,+1504.58+25.8419d
2017-03-28 00:00:07.220000 PDT,+1507.35+25.8419d
2017-03-28 00:00:07.230000 PDT,+1510.12+25.8419d
2017-03-28 00:00:07.240000 PDT,+1512.9+25.8419d
2017-03-28 00:00:07.250000 PDT,+1515.67+25.8419d
2017-03-28 00:00:07.260000 PDT,+1518.45+25.8419d
2017-03-28 00:00:07.270000 PDT,+1521.23+25.8419d
2017-03-28 00:00:07.280000 PDT,+1524.01+25.8419d
2017-03-28 00:00:07.290000 PDT,+1526.79+25.8419d
2017-03-28 00:00:07.300000 PDT,+1529.57+25.8419d
2017-03-28 00:00:07.310000 PDT,+1532.35+25.8419d
2017-03-28 00:00:07.320000 PDT,+1535.14+25.8419d
