# timestamp,measured_power_A
2009-01-01 00:00:05.066200 PST,+2493.6684-103.93213j
2009-01-01 00:00:05.066400 PST,+2493.5838-104.16099j
2009-01-01 00:00:05.066600 PST,+2493.495-104.38593j
2009-01-01 00:00:05.066800 PST,+2493.402-104.60706j
2009-01-01 00:00:05.067000 PST,+2493.3051-104.82445j
2009-01-01 00:00:05.067200 PST,+2493.2046-105.0382j
2009-01-01 00:00:05.067400 PST,+2493.1007-105.24839j
2009-01-01 00:00:05.067600 PST,+2492.9936-105.45508j
2009-01-01 00:00:05.067800 PST,+2492.8835-105.65837j
2009-01-01 00:00:05.068000 PST,+2492.7707-105.85833j
2009-01-01 00:00:05.068200 PST,+2492.6554-106.05502j
2009-01-01 00:00:05.068400 PST,+2492.5379-106.24851j
2009-01-01 00:00:05.068600 PST,+2492.4183-106.43888j
2009-01-01 00:00:05.068800 PST,+2492.2969-106.62618j
2009-01-01 00:00:05.069000 PST,+2492.1739-106.81048j
2009-01-01 00:00:05.069200 PST,+2492.0495-106.99182j
2009-01-01 00:00:05.069400 PST,+2491.9241-107.17028j
2009-01-01 00:00:05.069600 PST,+2491.7977-107.34589j
2009-01-01 00:00:05.069800 PST,+2491.6706-107.51871j
2009-01-01 00:00:05.070000 PST,+2491.543-107.68879j
2009-01-01 00:00:05.070200 PST,+2491.4152-107.85616j
2009-01-01 00:00:05.070400 PST,+2491.2873-108.02087j
2009-01-01 00:00:05.070600 PST,+2491.1596-108.18296j
2009-01-01 00:00:05.070800 PST,+2491.0322-108.34246j
2009-01-01 00:00:05.071000 PST,+2490.9053-108.49941j
2009-01-01 00:00:05.071200 PST,+2490.7792-108.65383j
2009-01-01 00:00:05.071400 PST,+2490.6541-108.80575j
2009-01-01 00:00:05.071600 PST,+2490.53-108.9552j
2009-01-01 00:00:05.071800 PST,+2490.4073-109.1022j
2009-01-01 00:00:05.072000 PST,+2490.2861-109.24676j
2009-01-01 00:00:05.072200 PST,+2490.1665-109.38891j
2009-01-01 00:00:05.072400 PST,+2490.0488-109.52865j
2009-01-01 00:00:05.072600 PST,+2489.9331-109.66601j
2009-01-01 00:00:05.072800 PST,+2489.8195-109.80098j
2009-01-01 00:00:05.073000 PST,+2489.7082-109.93358j
2009-01-01 00:00:05.073200 PST,+2489.5994-110.06381j
2009-01-01 00:00:05.073400 PST,+2489.4933-110.19166j
2009-01-01 00:00:05.073600 PST,+2489.3899-110.31715j
2009-01-01 00:00:05.073800 PST,+2489.2894-110.44027j
2009-01-01 00:00:05.074000 PST,+2489.1919-110.56101j
2009-01-01 00:00:05.074200 PST,+2489.0975-110.67936j
2009-01-01 00:00:05.074400 PST,+2489.0065-110.79532j
2009-01-01 00:00:05.074600 PST,+2488.9188-110.90888j
