# file...... ../data_vfd_in_rec_pow_A.csv
# date...... Wed Apr 26 14:48:24 2017
# user...... gour967
# host...... (null)
# target.... vfd 20
# trigger... (none)
# interval.. 1
# limit..... 0
# timestamp,power_in_A
2017-03-28 00:00:06.460000 PDT,+1168.02+565.697j
2017-03-28 00:00:06.470000 PDT,+1170.5+566.901j
2017-03-28 00:00:06.480000 PDT,+1172.99+568.105j
2017-03-28 00:00:06.490000 PDT,+1175.47+569.308j
2017-03-28 00:00:06.500000 PDT,+1177.96+570.511j
2017-03-28 00:00:06.510000 PDT,+1180.44+571.715j
2017-03-28 00:00:06.520000 PDT,+1182.93+572.918j
2017-03-28 00:00:06.530000 PDT,+1185.41+574.121j
2017-03-28 00:00:06.540000 PDT,+1187.89+575.323j
2017-03-28 00:00:06.550000 PDT,+1190.38+576.526j
2017-03-28 00:00:06.560000 PDT,+1192.86+577.729j
2017-03-28 00:00:06.570000 PDT,+1195.34+578.931j
2017-03-28 00:00:06.580000 PDT,+1197.82+580.133j
2017-03-28 00:00:06.590000 PDT,+1200.31+581.335j
2017-03-28 00:00:06.600000 PDT,+1202.79+582.537j
2017-03-28 00:00:06.610000 PDT,+1205.27+583.739j
2017-03-28 00:00:06.620000 PDT,+1207.75+584.94j
2017-03-28 00:00:06.630000 PDT,+1210.23+586.142j
2017-03-28 00:00:06.640000 PDT,+1212.71+587.343j
2017-03-28 00:00:06.650000 PDT,+1215.19+588.545j
2017-03-28 00:00:06.660000 PDT,+1217.67+589.746j
2017-03-28 00:00:06.670000 PDT,+1220.15+590.947j
2017-03-28 00:00:06.680000 PDT,+1222.63+592.147j
2017-03-28 00:00:06.690000 PDT,+1225.11+593.348j
2017-03-28 00:00:06.700000 PDT,+1227.59+594.549j
2017-03-28 00:00:06.710000 PDT,+1230.07+595.749j
2017-03-28 00:00:06.720000 PDT,+1232.55+596.95j
2017-03-28 00:00:06.730000 PDT,+1235.03+598.15j
2017-03-28 00:00:06.740000 PDT,+1237.5+599.35j
2017-03-28 00:00:06.750000 PDT,+1239.98+600.55j
2017-03-28 00:00:06.760000 PDT,+1242.46+601.75j
2017-03-28 00:00:06.770000 PDT,+1244.94+602.95j
2017-03-28 00:00:06.780000 PDT,+1247.41+604.15j
2017-03-28 00:00:06.790000 PDT,+1249.89+605.35j
2017-03-28 00:00:06.800000 PDT,+1252.37+606.55j
2017-03-28 00:00:06.810000 PDT,+1254.85+607.75j
2017-03-28 00:00:06.820000 PDT,+1257.32+608.949j
2017-03-28 00:00:06.830000 PDT,+1259.8+610.149j
2017-03-28 00:00:06.840000 PDT,+1262.28+611.349j
2017-03-28 00:00:06.850000 PDT,+1264.75+612.548j
2017-03-28 00:00:06.860000 PDT,+1267.23+613.748j
2017-03-28 00:00:06.870000 PDT,+1269.71+614.947j
2017-03-28 00:00:06.880000 PDT,+1272.18+616.147j
2017-03-28 00:00:06.890000 PDT,+1274.66+617.347j
2017-03-28 00:00:06.900000 PDT,+1277.14+618.547j
2017-03-28 00:00:06.910000 PDT,+1279.62+619.746j
2017-03-28 00:00:06.920000 PDT,+1282.09+620.946j
2017-03-28 00:00:06.930000 PDT,+1284.57+622.146j
2017-03-28 00:00:06.940000 PDT,+1287.05+623.346j
2017-03-28 00:00:06.950000 PDT,+1289.53+624.546j
2017-03-28 00:00:06.960000 PDT,+1292+625.746j
2017-03-28 00:00:06.970000 PDT,+1294.48+626.947j
2017-03-28 00:00:06.980000 PDT,+1296.96+628.147j
2017-03-28 00:00:06.990000 PDT,+1299.44+629.348j
2017-03-28 00:00:07.000000 PDT,+1301.92+630.549j
2017-03-28 00:00:07.010000 PDT,+1304.4+631.75j
2017-03-28 00:00:07.020000 PDT,+1306.88+632.951j
2017-03-28 00:00:07.030000 PDT,+1309.36+634.152j
2017-03-28 00:00:07.040000 PDT,+1311.84+635.354j
2017-03-28 00:00:07.050000 PDT,+1314.32+636.556j
2017-03-28 00:00:07.060000 PDT,+1316.81+637.758j
2017-03-28 00:00:07.070000 PDT,+1319.29+638.96j
2017-03-28 00:00:07.080000 PDT,+1321.77+640.163j
2017-03-28 00:00:07.090000 PDT,+1324.25+641.366j
2017-03-28 00:00:07.100000 PDT,+1326.74+642.569j
2017-03-28 00:00:07.110000 PDT,+1329.22+643.773j
2017-03-28 00:00:07.120000 PDT,+1331.71+644.977j
2017-03-28 00:00:07.130000 PDT,+1334.2+646.181j
2017-03-28 00:00:07.140000 PDT,+1336.68+647.386j
2017-03-28 00:00:07.150000 PDT,+1339.17+648.591j
2017-03-28 00:00:07.160000 PDT,+1341.66+649.796j
2017-03-28 00:00:07.170000 PDT,+1344.15+651.002j
2017-03-28 00:00:07.180000 PDT,+1346.64+652.208j
2017-03-28 00:00:07.190000 PDT,+1349.13+653.415j
2017-03-28 00:00:07.200000 PDT,+1351.63+654.622j
2017-03-28 00:00:07.210000 PDT,+1354.12+655.83j
