# file...... ../data_vfd_out_rec_curr_C.csv
# date...... Wed Apr 26 14:48:24 2017
# user...... gour967
# host...... (null)
# target.... vfd 20
# trigger... (none)
# interval.. 1
# limit..... 0
# timestamp,current_out_C
2017-03-28 00:00:07.870000 PDT,+0.238095-22.5043d
2017-03-28 00:00:07.880000 PDT,+0.238095-33.6418d
2017-03-28 00:00:07.890000 PDT,+0.238095-44.442d
2017-03-28 00:00:07.900000 PDT,+0.238095-54.9045d
2017-03-28 00:00:07.910000 PDT,+0.238095-65.0295d
2017-03-28 00:00:07.920000 PDT,+0.238095-74.817d
2017-03-28 00:00:07.930000 PDT,+0.238095-84.267d
2017-03-28 00:00:07.940000 PDT,+0.238095-93.3795d
2017-03-28 00:00:07.950000 PDT,+0.238095-102.154d
2017-03-28 00:00:07.960000 PDT,+0.238095-110.592d
2017-03-28 00:00:07.970000 PDT,+0.238095-118.692d
2017-03-28 00:00:07.980000 PDT,+0.238095-126.454d
2017-03-28 00:00:07.990000 PDT,+0.238095-133.879d
2017-03-28 00:00:08.000000 PDT,+0.238095-140.967d
2017-03-28 00:00:08.010000 PDT,+0.238095-147.717d
2017-03-28 00:00:08.020000 PDT,+0.238095-154.129d
2017-03-28 00:00:08.030000 PDT,+0.238095-160.204d
2017-03-28 00:00:08.040000 PDT,+0.238095-165.942d
2017-03-28 00:00:08.050000 PDT,+0.238095-171.342d
2017-03-28 00:00:08.060000 PDT,+0.238095-176.404d
2017-03-28 00:00:08.070000 PDT,+0.238095+178.871d
2017-03-28 00:00:08.080000 PDT,+0.238095+174.483d
2017-03-28 00:00:08.090000 PDT,+0.238095+170.433d
2017-03-28 00:00:08.100000 PDT,+0.238095+166.721d
2017-03-28 00:00:08.110000 PDT,+0.238095+163.346d
2017-03-28 00:00:08.120000 PDT,+0.238095+160.308d
2017-03-28 00:00:08.130000 PDT,+0.238095+157.608d
2017-03-28 00:00:08.140000 PDT,+0.238095+155.246d
2017-03-28 00:00:08.150000 PDT,+0.238095+153.221d
2017-03-28 00:00:08.160000 PDT,+0.238095+151.533d
2017-03-28 00:00:08.170000 PDT,+0.238095+150.183d
2017-03-28 00:00:08.180000 PDT,+0.238095+149.171d
2017-03-28 00:00:08.190000 PDT,+0.238095+148.496d
2017-03-28 00:00:08.200000 PDT,+0.238095+148.158d
2017-03-28 00:00:08.210000 PDT,+0.238095+148.158d
2017-03-28 00:00:09 PDT,+0.238095+148.158d
2017-03-28 00:00:10 PDT,+0.238095+148.158d
2017-03-28 00:00:11 PDT,+0.238095+148.158d
2017-03-28 00:00:12.000000 PDT,+0.238095+148.158d
2017-03-28 00:00:12.010000 PDT,+0.238095+148.158d
2017-03-28 00:00:12.020000 PDT,+0.238095+147.671d
2017-03-28 00:00:12.030000 PDT,+0.238095+146.696d
2017-03-28 00:00:12.040000 PDT,+0.238095+145.233d
2017-03-28 00:00:12.050000 PDT,+0.238095+143.283d
2017-03-28 00:00:12.060000 PDT,+0.238095+140.846d
2017-03-28 00:00:12.070000 PDT,+0.238095+137.921d
2017-03-28 00:00:12.080000 PDT,+0.238095+134.508d
2017-03-28 00:00:12.090000 PDT,+0.238095+130.608d
2017-03-28 00:00:12.100000 PDT,+0.238095+126.221d
2017-03-28 00:00:12.110000 PDT,+0.238095+121.346d
2017-03-28 00:00:12.120000 PDT,+0.238095+115.983d
2017-03-28 00:00:12.130000 PDT,+0.238095+110.133d
2017-03-28 00:00:12.140000 PDT,+0.238095+103.795d
2017-03-28 00:00:12.150000 PDT,+0.238095+96.9705d
2017-03-28 00:00:12.160000 PDT,+0.238095+89.658d
2017-03-28 00:00:12.170000 PDT,+0.238095+81.858d
2017-03-28 00:00:12.180000 PDT,+0.238095+73.5705d
2017-03-28 00:00:12.190000 PDT,+0.238095+64.7955d
