# file...... ../data_vfd_in_rec_curr_A.csv
# date...... Wed Apr 26 14:48:24 2017
# user...... gour967
# host...... (null)
# target.... vfd 20
# trigger... (none)
# interval.. 1
# limit..... 0
# timestamp,current_in_A
2017-03-28 00:00:07.270000 PDT,+0.325991-0.157898j
2017-03-28 00:00:07.280000 PDT,+0.326586-0.158187j
2017-03-28 00:00:07.290000 PDT,+0.327182-0.158475j
2017-03-28 00:00:07.300000 PDT,+0.327778-0.158764j
2017-03-28 00:00:07.310000 PDT,+0.328375-0.159053j
2017-03-28 00:00:07.320000 PDT,+0.328972-0.159342j
2017-03-28 00:00:07.330000 PDT,+0.329569-0.159632j
2017-03-28 00:00:07.340000 PDT,+0.330166-0.159921j
2017-03-28 00:00:07.350000 PDT,+0.330764-0.160211j
2017-03-28 00:00:07.360000 PDT,+0.331362-0.1605j
2017-03-28 00:00:07.370000 PDT,+0.331961-0.16079j
2017-03-28 00:00:07.380000 PDT,+0.33256-0.16108j
2017-03-28 00:00:07.390000 PDT,+0.333159-0.161371j
2017-03-28 00:00:07.400000 PDT,+0.333759-0.161661j
2017-03-28 00:00:07.410000 PDT,+0.334358-0.161952j
2017-03-28 00:00:07.420000 PDT,+0.334959-0.162242j
2017-03-28 00:00:07.430000 PDT,+0.335559-0.162533j
2017-03-28 00:00:07.440000 PDT,+0.33616-0.162825j
2017-03-28 00:00:07.450000 PDT,+0.336762-0.163116j
2017-03-28 00:00:07.460000 PDT,+0.337364-0.163407j
2017-03-28 00:00:07.470000 PDT,+0.337966-0.163699j
2017-03-28 00:00:07.480000 PDT,+0.338568-0.163991j
2017-03-28 00:00:07.490000 PDT,+0.339171-0.164283j
2017-03-28 00:00:07.500000 PDT,+0.339775-0.164575j
2017-03-28 00:00:07.510000 PDT,+0.340378-0.164868j
2017-03-28 00:00:07.520000 PDT,+0.340982-0.16516j
2017-03-28 00:00:07.530000 PDT,+0.341587-0.165453j
2017-03-28 00:00:07.540000 PDT,+0.342192-0.165746j
2017-03-28 00:00:07.550000 PDT,+0.342797-0.166039j
2017-03-28 00:00:07.560000 PDT,+0.343402-0.166333j
2017-03-28 00:00:07.570000 PDT,+0.344008-0.166626j
2017-03-28 00:00:07.580000 PDT,+0.344615-0.16692j
2017-03-28 00:00:07.590000 PDT,+0.345221-0.167214j
2017-03-28 00:00:07.600000 PDT,+0.345828-0.167508j
2017-03-28 00:00:07.610000 PDT,+0.346436-0.167802j
2017-03-28 00:00:07.620000 PDT,+0.347044-0.168096j
2017-03-28 00:00:07.630000 PDT,+0.347652-0.168391j
2017-03-28 00:00:07.640000 PDT,+0.34826-0.168686j
2017-03-28 00:00:07.650000 PDT,+0.348869-0.168981j
2017-03-28 00:00:07.660000 PDT,+0.349478-0.169276j
2017-03-28 00:00:07.670000 PDT,+0.350087-0.169571j
2017-03-28 00:00:07.680000 PDT,+0.350697-0.169866j
2017-03-28 00:00:07.690000 PDT,+0.351307-0.170162j
2017-03-28 00:00:07.700000 PDT,+0.351917-0.170457j
2017-03-28 00:00:07.710000 PDT,+0.352527-0.170753j
2017-03-28 00:00:07.720000 PDT,+0.353138-0.171049j
2017-03-28 00:00:07.730000 PDT,+0.353749-0.171345j
2017-03-28 00:00:07.740000 PDT,+0.35436-0.171641j
2017-03-28 00:00:07.750000 PDT,+0.354971-0.171937j
2017-03-28 00:00:07.760000 PDT,+0.355583-0.172233j
2017-03-28 00:00:07.770000 PDT,+0.356194-0.172529j
2017-03-28 00:00:07.780000 PDT,+0.356806-0.172825j
2017-03-28 00:00:07.790000 PDT,+0.357417-0.173122j
2017-03-28 00:00:07.800000 PDT,+0.358029-0.173418j
2017-03-28 00:00:07.810000 PDT,+0.358641-0.173714j
2017-03-28 00:00:07.820000 PDT,+0.359253-0.174011j
2017-03-28 00:00:07.830000 PDT,+0.359865-0.174307j
2017-03-28 00:00:07.840000 PDT,+0.360476-0.174603j
2017-03-28 00:00:07.850000 PDT,+0.361088-0.1749j
2017-03-28 00:00:07.860000 PDT,+0.361699-0.175196j
2017-03-28 00:00:07.870000 PDT,+0.362311-0.175492j
