# file...... ../data_vfd_out_rec_pow_B.csv
# date...... Wed Apr 26 14:48:24 2017
# user...... gour967
# host...... (null)
# target.... vfd 20
# trigger... (none)
# interval.. 1
# limit..... 0
# timestamp,power_out_B
2017-03-28 00:00:07.560000 PDT,+1400.53+678.305j
2017-03-28 00:00:07.570000 PDT,+1402.96+679.485j
2017-03-28 00:00:07.580000 PDT,+1405.4+680.665j
2017-03-28 00:00:07.590000 PDT,+1407.83+681.844j
2017-03-28 00:00:07.600000 PDT,+1410.27+683.024j
2017-03-28 00:00:07.610000 PDT,+1412.7+684.204j
2017-03-28 00:00:07.620000 PDT,+1415.14+685.383j
2017-03-28 00:00:07.630000 PDT,+1417.58+686.563j
2017-03-28 00:00:07.640000 PDT,+1420.01+687.743j
2017-03-28 00:00:07.650000 PDT,+1422.45+688.922j
2017-03-28 00:00:07.660000 PDT,+1424.88+690.102j
2017-03-28 00:00:07.670000 PDT,+1427.32+691.282j
2017-03-28 00:00:07.680000 PDT,+1429.75+692.461j
2017-03-28 00:00:07.690000 PDT,+1432.19+693.641j
2017-03-28 00:00:07.700000 PDT,+1434.63+694.821j
2017-03-28 00:00:07.710000 PDT,+1437.06+696j
2017-03-28 00:00:07.720000 PDT,+1439.5+697.18j
2017-03-28 00:00:07.730000 PDT,+1441.93+698.36j
2017-03-28 00:00:07.740000 PDT,+1444.37+699.539j
2017-03-28 00:00:07.750000 PDT,+1446.8+700.719j
2017-03-28 00:00:07.760000 PDT,+1449.24+701.899j
2017-03-28 00:00:07.770000 PDT,+1451.68+703.078j
2017-03-28 00:00:07.780000 PDT,+1454.11+704.258j
2017-03-28 00:00:07.790000 PDT,+1456.55+705.438j
2017-03-28 00:00:07.800000 PDT,+1458.98+706.617j
2017-03-28 00:00:07.810000 PDT,+1461.42+707.797j
2017-03-28 00:00:07.820000 PDT,+1463.85+708.977j
2017-03-28 00:00:07.830000 PDT,+1466.29+710.156j
2017-03-28 00:00:07.840000 PDT,+1468.72+711.336j
2017-03-28 00:00:07.850000 PDT,+1471.16+712.516j
2017-03-28 00:00:07.860000 PDT,+1473.6+713.695j
2017-03-28 00:00:07.870000 PDT,+1476.03+714.875j
2017-03-28 00:00:07.880000 PDT,+1478.47+716.055j
2017-03-28 00:00:07.890000 PDT,+1480.9+717.234j
2017-03-28 00:00:07.900000 PDT,+1483.34+718.414j
2017-03-28 00:00:07.910000 PDT,+1485.77+719.594j
2017-03-28 00:00:07.920000 PDT,+1488.21+720.773j
2017-03-28 00:00:07.930000 PDT,+1490.65+721.953j
2017-03-28 00:00:07.940000 PDT,+1493.08+723.133j
2017-03-28 00:00:07.950000 PDT,+1495.52+724.312j
2017-03-28 00:00:07.960000 PDT,+1497.95+725.492j
2017-03-28 00:00:07.970000 PDT,+1500.39+726.672j
2017-03-28 00:00:07.980000 PDT,+1502.82+727.851j
2017-03-28 00:00:07.990000 PDT,+1505.26+729.031j
2017-03-28 00:00:08.000000 PDT,+1507.7+730.211j
2017-03-28 00:00:08.010000 PDT,+1510.13+731.39j
2017-03-28 00:00:08.020000 PDT,+1512.57+732.57j
2017-03-28 00:00:08.030000 PDT,+1515+733.75j
2017-03-28 00:00:08.040000 PDT,+1517.44+734.929j
2017-03-28 00:00:08.050000 PDT,+1519.87+736.109j
2017-03-28 00:00:08.060000 PDT,+1522.31+737.289j
2017-03-28 00:00:08.070000 PDT,+1524.75+738.468j
2017-03-28 00:00:08.080000 PDT,+1527.18+739.648j
2017-03-28 00:00:08.090000 PDT,+1529.62+740.828j
2017-03-28 00:00:08.100000 PDT,+1532.05+742.007j
2017-03-28 00:00:08.110000 PDT,+1534.49+743.187j
2017-03-28 00:00:08.120000 PDT,+1536.92+744.366j
2017-03-28 00:00:08.130000 PDT,+1539.36+745.546j
2017-03-28 00:00:08.140000 PDT,+1541.8+746.726j
2017-03-28 00:00:08.150000 PDT,+1544.23+747.905j
2017-03-28 00:00:08.160000 PDT,+1546.67+749.085j
2017-03-28 00:00:08.170000 PDT,+1549.1+750.265j
2017-03-28 00:00:08.180000 PDT,+1551.54+751.444j
2017-03-28 00:00:08.190000 PDT,+1553.97+752.624j
2017-03-28 00:00:08.200000 PDT,+1556.41+753.804j
2017-03-28 00:00:08.210000 PDT,+1558.85+754.983j
2017-03-28 00:00:09 PDT,+1558.85+754.983j
2017-03-28 00:00:10 PDT,+1558.85+754.983j
2017-03-28 00:00:11 PDT,+1558.85+754.983j
2017-03-28 00:00:12.000000 PDT,+1558.85+754.983j
2017-03-28 00:00:12.010000 PDT,+1558.85+754.983j
2017-03-28 00:00:12.020000 PDT,+1555.33+753.279j
2017-03-28 00:00:12.030000 PDT,+1551.81+751.576j
2017-03-28 00:00:12.040000 PDT,+1548.29+749.872j
2017-03-28 00:00:12.050000 PDT,+1544.77+748.168j
2017-03-28 00:00:12.060000 PDT,+1541.25+746.464j
2017-03-28 00:00:12.070000 PDT,+1537.74+744.76j
2017-03-28 00:00:12.080000 PDT,+1534.22+743.056j
2017-03-28 00:00:12.090000 PDT,+1530.7+741.352j
