# file...... ../data_vfd_in_rec_curr_C.csv
# date...... Wed Apr 26 14:48:24 2017
# user...... gour967
# host...... (null)
# target.... vfd 20
# trigger... (none)
# interval.. 1
# limit..... 0
# timestamp,current_in_C
2017-03-28 00:00:08.200000 PDT,-0.0307591+0.423393j
2017-03-28 00:00:08.210000 PDT,-0.0308072+0.424056j
2017-03-28 00:00:09 PDT,-0.0308071+0.424056j
2017-03-28 00:00:10 PDT,-0.0308071+0.424056j
2017-03-28 00:00:11 PDT,-0.0308071+0.424056j
2017-03-28 00:00:12.000000 PDT,-0.0308071+0.424056j
2017-03-28 00:00:12.010000 PDT,-0.0308099+0.424094j
2017-03-28 00:00:12.020000 PDT,-0.0307427+0.42317j
2017-03-28 00:00:12.030000 PDT,-0.0306752+0.42224j
2017-03-28 00:00:12.040000 PDT,-0.0306074+0.421305j
2017-03-28 00:00:12.050000 PDT,-0.0305392+0.420366j
2017-03-28 00:00:12.060000 PDT,-0.0304707+0.419422j
2017-03-28 00:00:12.070000 PDT,-0.0304019+0.418475j
2017-03-28 00:00:12.080000 PDT,-0.0303328+0.417524j
2017-03-28 00:00:12.090000 PDT,-0.0302635+0.416569j
2017-03-28 00:00:12.100000 PDT,-0.030194+0.415611j
2017-03-28 00:00:12.110000 PDT,-0.0301243+0.414651j
2017-03-28 00:00:12.120000 PDT,-0.0300543+0.413687j
2017-03-28 00:00:12.130000 PDT,-0.0299842+0.412722j
2017-03-28 00:00:12.140000 PDT,-0.029914+0.411754j
2017-03-28 00:00:12.150000 PDT,-0.0298436+0.410785j
2017-03-28 00:00:12.160000 PDT,-0.0297731+0.409813j
2017-03-28 00:00:12.170000 PDT,-0.0297024+0.40884j
2017-03-28 00:00:12.180000 PDT,-0.0296317+0.407866j
2017-03-28 00:00:12.190000 PDT,-0.0295609+0.406891j
2017-03-28 00:00:12.200000 PDT,-0.02949+0.405915j
2017-03-28 00:00:12.210000 PDT,-0.0294191+0.404937j
2017-03-28 00:00:12.220000 PDT,-0.0293481+0.403959j
2017-03-28 00:00:12.230000 PDT,-0.029277+0.402981j
2017-03-28 00:00:12.240000 PDT,-0.029206+0.402002j
2017-03-28 00:00:12.250000 PDT,-0.0291349+0.401023j
2017-03-28 00:00:12.260000 PDT,-0.0290638+0.400044j
2017-03-28 00:00:12.270000 PDT,-0.0289927+0.399064j
2017-03-28 00:00:12.280000 PDT,-0.0289215+0.398085j
2017-03-28 00:00:12.290000 PDT,-0.0288504+0.397105j
2017-03-28 00:00:12.300000 PDT,-0.0287794+0.396126j
2017-03-28 00:00:12.310000 PDT,-0.0287083+0.395147j
2017-03-28 00:00:12.320000 PDT,-0.0286372+0.394169j
2017-03-28 00:00:12.330000 PDT,-0.0285662+0.393191j
2017-03-28 00:00:12.340000 PDT,-0.0284952+0.392213j
2017-03-28 00:00:12.350000 PDT,-0.0284243+0.391236j
2017-03-28 00:00:12.360000 PDT,-0.0283534+0.39026j
2017-03-28 00:00:12.370000 PDT,-0.0282826+0.389284j
2017-03-28 00:00:12.380000 PDT,-0.0282118+0.388309j
2017-03-28 00:00:12.390000 PDT,-0.028141+0.387334j
2017-03-28 00:00:12.400000 PDT,-0.0280703+0.386361j
2017-03-28 00:00:12.410000 PDT,-0.0279997+0.385388j
2017-03-28 00:00:12.420000 PDT,-0.0279291+0.384416j
2017-03-28 00:00:12.430000 PDT,-0.0278586+0.383444j
2017-03-28 00:00:12.440000 PDT,-0.0277881+0.382474j
2017-03-28 00:00:12.450000 PDT,-0.0277177+0.381504j
2017-03-28 00:00:12.460000 PDT,-0.0276474+0.380536j
2017-03-28 00:00:12.470000 PDT,-0.0275771+0.379568j
2017-03-28 00:00:12.480000 PDT,-0.0275069+0.378601j
2017-03-28 00:00:12.490000 PDT,-0.0274367+0.377635j
2017-03-28 00:00:12.500000 PDT,-0.0273667+0.376669j
2017-03-28 00:00:12.510000 PDT,-0.0272966+0.375705j
2017-03-28 00:00:12.520000 PDT,-0.0272267+0.374742j
2017-03-28 00:00:12.530000 PDT,-0.0271568+0.373779j
2017-03-28 00:00:12.540000 PDT,-0.027087+0.372818j
2017-03-28 00:00:12.550000 PDT,-0.0270172+0.371857j
2017-03-28 00:00:12.560000 PDT,-0.0269475+0.370897j
2017-03-28 00:00:12.570000 PDT,-0.0268779+0.369938j
2017-03-28 00:00:12.580000 PDT,-0.0268083+0.368979j
2017-03-28 00:00:12.590000 PDT,-0.0267388+0.368022j
2017-03-28 00:00:12.600000 PDT,-0.0266693+0.367065j
2017-03-28 00:00:12.610000 PDT,-0.0265999+0.366109j
2017-03-28 00:00:12.620000 PDT,-0.0265305+0.365154j
2017-03-28 00:00:12.630000 PDT,-0.0264612+0.364199j
2017-03-28 00:00:12.640000 PDT,-0.0263919+0.363246j
2017-03-28 00:00:12.650000 PDT,-0.0263227+0.362292j
2017-03-28 00:00:12.660000 PDT,-0.0262536+0.36134j
2017-03-28 00:00:12.670000 PDT,-0.0261845+0.360388j
2017-03-28 00:00:12.680000 PDT,-0.0261154+0.359437j
2017-03-28 00:00:12.690000 PDT,-0.0260463+0.358486j
2017-03-28 00:00:12.700000 PDT,-0.0259774+0.357536j
2017-03-28 00:00:12.710000 PDT,-0.0259084+0.356587j
2017-03-28 00:00:12.720000 PDT,-0.0258395+0.355638j
2017-03-28 00:00:12.730000 PDT,-0.0257706+0.354689j
2017-03-28 00:00:12.740000 PDT,-0.0257018+0.353741j
2017-03-28 00:00:12.750000 PDT,-0.0256329+0.352793j
