# file...... ../data_vfd_out_rec_curr_B.csv
# date...... Wed Apr 26 14:48:24 2017
# user...... gour967
# host...... (null)
# target.... vfd 20
# trigger... (none)
# interval.. 1
# limit..... 0
# timestamp,current_out_B
2017-03-28 00:00:12.570000 PDT,+0.238095-149.892d
2017-03-28 00:00:12.580000 PDT,+0.238095-177.679d
2017-03-28 00:00:12.590000 PDT,+0.238095+154.046d
2017-03-28 00:00:12.600000 PDT,+0.238095+125.283d
2017-03-28 00:00:12.610000 PDT,+0.238095+96.0333d
2017-03-28 00:00:12.620000 PDT,+0.238095+66.2959d
2017-03-28 00:00:12.630000 PDT,+0.238095+36.0709d
2017-03-28 00:00:12.640000 PDT,+0.238095+5.35768d
2017-03-28 00:00:12.650000 PDT,+0.238095-25.8423d
2017-03-28 00:00:12.660000 PDT,+0.238095-57.5298d
2017-03-28 00:00:12.670000 PDT,+0.238095-89.7047d
2017-03-28 00:00:12.680000 PDT,+0.238095-122.367d
2017-03-28 00:00:12.690000 PDT,+0.238095-155.517d
2017-03-28 00:00:12.700000 PDT,+0.238095+170.845d
2017-03-28 00:00:12.710000 PDT,+0.238095+136.72d
2017-03-28 00:00:12.720000 PDT,+0.238095+102.108d
2017-03-28 00:00:12.730000 PDT,+0.238095+67.008d
2017-03-28 00:00:12.740000 PDT,+0.238095+31.4205d
2017-03-28 00:00:12.750000 PDT,+0.238095-4.65446d
2017-03-28 00:00:12.760000 PDT,+0.238095-41.2169d
2017-03-28 00:00:12.770000 PDT,+0.238095-78.2669d
2017-03-28 00:00:12.780000 PDT,+0.238095-115.804d
2017-03-28 00:00:12.790000 PDT,+0.238095-153.829d
2017-03-28 00:00:12.800000 PDT,+0.238095+167.658d
2017-03-28 00:00:12.810000 PDT,+0.238095+128.658d
2017-03-28 00:00:12.820000 PDT,+0.238095+89.1708d
2017-03-28 00:00:12.830000 PDT,+0.238095+49.1958d
2017-03-28 00:00:12.840000 PDT,+0.238095+8.73337d
2017-03-28 00:00:12.850000 PDT,+0.238095-32.2166d
2017-03-28 00:00:12.860000 PDT,+0.238095-73.6541d
2017-03-28 00:00:12.870000 PDT,+0.238095-115.579d
2017-03-28 00:00:12.880000 PDT,+0.238095-157.991d
2017-03-28 00:00:12.890000 PDT,+0.238095+159.108d
