# timestamp,measured_power_C
2009-01-01 00:00:05.055400 PST,+4846.6948-159.99448j
2009-01-01 00:00:05.055600 PST,+4847.3634-161.16749j
2009-01-01 00:00:05.055800 PST,+4848.0187-162.32172j
2009-01-01 00:00:05.056000 PST,+4848.6603-163.45727j
2009-01-01 00:00:05.056200 PST,+4849.2877-164.57427j
2009-01-01 00:00:05.056400 PST,+4849.9005-165.67284j
2009-01-01 00:00:05.056600 PST,+4850.4983-166.75312j
2009-01-01 00:00:05.056800 PST,+4851.0807-167.81525j
2009-01-01 00:00:05.057000 PST,+4851.6474-168.85939j
2009-01-01 00:00:05.057200 PST,+4852.198-169.88569j
2009-01-01 00:00:05.057400 PST,+4852.7323-170.89432j
2009-01-01 00:00:05.057600 PST,+4853.25-171.88545j
2009-01-01 00:00:05.057800 PST,+4853.7509-172.85925j
2009-01-01 00:00:05.058000 PST,+4854.2347-173.81591j
2009-01-01 00:00:05.058200 PST,+4854.7012-174.75562j
2009-01-01 00:00:05.058400 PST,+4855.1502-175.67857j
2009-01-01 00:00:05.058600 PST,+4855.5817-176.58496j
2009-01-01 00:00:05.058800 PST,+4855.9954-177.47501j
2009-01-01 00:00:05.059000 PST,+4856.3914-178.3489j
2009-01-01 00:00:05.059200 PST,+4856.7694-179.20687j
2009-01-01 00:00:05.059400 PST,+4857.1295-180.04912j
2009-01-01 00:00:05.059600 PST,+4857.4716-180.87588j
2009-01-01 00:00:05.059800 PST,+4857.7958-181.68737j
2009-01-01 00:00:05.060000 PST,+4858.102-182.48381j
2009-01-01 00:00:05.060200 PST,+4858.3902-183.26544j
2009-01-01 00:00:05.060400 PST,+4858.6606-184.03248j
2009-01-01 00:00:05.060600 PST,+4858.9131-184.78517j
2009-01-01 00:00:05.060800 PST,+4859.148-185.52375j
2009-01-01 00:00:05.061000 PST,+4859.3653-186.24844j
2009-01-01 00:00:05.061200 PST,+4859.5651-186.9595j
2009-01-01 00:00:05.061400 PST,+4859.7476-187.65715j
2009-01-01 00:00:05.061600 PST,+4859.9131-188.34163j
2009-01-01 00:00:05.061800 PST,+4860.0615-189.01319j
2009-01-01 00:00:05.062000 PST,+4860.1933-189.67207j
2009-01-01 00:00:05.062200 PST,+4860.3085-190.3185j
2009-01-01 00:00:05.062400 PST,+4860.4075-190.95272j
2009-01-01 00:00:05.062600 PST,+4860.4905-191.57498j
2009-01-01 00:00:05.062800 PST,+4860.5578-192.1855j
2009-01-01 00:00:05.063000 PST,+4860.6096-192.78452j
2009-01-01 00:00:05.063200 PST,+4860.6463-193.37228j
2009-01-01 00:00:05.063400 PST,+4860.6681-193.94902j
2009-01-01 00:00:05.063600 PST,+4860.6754-194.51495j
2009-01-01 00:00:05.063800 PST,+4860.6685-195.07031j
2009-01-01 00:00:05.064000 PST,+4860.6478-195.61534j
2009-01-01 00:00:05.064200 PST,+4860.6136-196.15024j
2009-01-01 00:00:05.064400 PST,+4860.5663-196.67524j
2009-01-01 00:00:05.064600 PST,+4860.5063-197.19057j
2009-01-01 00:00:05.064800 PST,+4860.4339-197.69642j
2009-01-01 00:00:05.065000 PST,+4860.3496-198.19303j
2009-01-01 00:00:05.065200 PST,+4860.2537-198.68059j
2009-01-01 00:00:05.065400 PST,+4860.1467-199.1593j
2009-01-01 00:00:05.065600 PST,+4860.029-199.62938j
2009-01-01 00:00:05.065800 PST,+4859.9009-200.09102j
2009-01-01 00:00:05.066000 PST,+4859.763-200.5444j
2009-01-01 00:00:05.066200 PST,+4859.6156-200.98972j
2009-01-01 00:00:05.066400 PST,+4859.4593-201.42717j
2009-01-01 00:00:05.066600 PST,+4859.2943-201.85692j
2009-01-01 00:00:05.066800 PST,+4859.1212-202.27914j
2009-01-01 00:00:05.067000 PST,+4858.9404-202.69401j
2009-01-01 00:00:05.067200 PST,+4858.7524-203.1017j
2009-01-01 00:00:05.067400 PST,+4858.5576-203.50236j
2009-01-01 00:00:05.067600 PST,+4858.3565-203.89615j
2009-01-01 00:00:05.067800 PST,+4858.1494-204.28322j
2009-01-01 00:00:05.068000 PST,+4857.9369-204.66371j
2009-01-01 00:00:05.068200 PST,+4857.7193-205.03778j
2009-01-01 00:00:05.068400 PST,+4857.4972-205.40554j
2009-01-01 00:00:05.068600 PST,+4857.271-205.76714j
2009-01-01 00:00:05.068800 PST,+4857.0411-206.1227j
2009-01-01 00:00:05.069000 PST,+4856.808-206.47233j
2009-01-01 00:00:05.069200 PST,+4856.5721-206.81615j
2009-01-01 00:00:05.069400 PST,+4856.3338-207.15427j
2009-01-01 00:00:05.069600 PST,+4856.0935-207.48679j
2009-01-01 00:00:05.069800 PST,+4855.8517-207.81382j
2009-01-01 00:00:05.070000 PST,+4855.6088-208.13544j
2009-01-01 00:00:05.070200 PST,+4855.3652-208.45173j
2009-01-01 00:00:05.070400 PST,+4855.1214-208.76279j
2009-01-01 00:00:05.070600 PST,+4854.8776-209.06869j
2009-01-01 00:00:05.070800 PST,+4854.6344-209.36949j
2009-01-01 00:00:05.071000 PST,+4854.392-209.66527j
2009-01-01 00:00:05.071200 PST,+4854.151-209.95608j
2009-01-01 00:00:05.071400 PST,+4853.9116-210.24198j
2009-01-01 00:00:05.071600 PST,+4853.6742-210.52302j
2009-01-01 00:00:05.071800 PST,+4853.4392-210.79925j
2009-01-01 00:00:05.072000 PST,+4853.2069-211.0707j
2009-01-01 00:00:05.072200 PST,+4852.9777-211.33741j
2009-01-01 00:00:05.072400 PST,+4852.7518-211.5994j
2009-01-01 00:00:05.072600 PST,+4852.5298-211.85671j
2009-01-01 00:00:05.072800 PST,+4852.3117-212.10935j
2009-01-01 00:00:05.073000 PST,+4852.098-212.35734j
2009-01-01 00:00:05.073200 PST,+4851.889-212.60068j
2009-01-01 00:00:05.073400 PST,+4851.6849-212.83939j
2009-01-01 00:00:05.073600 PST,+4851.486-213.07346j
2009-01-01 00:00:05.073800 PST,+4851.2926-213.3029j
2009-01-01 00:00:05.074000 PST,+4851.1049-213.52769j
2009-01-01 00:00:05.074200 PST,+4850.9232-213.74783j
2009-01-01 00:00:05.074400 PST,+4850.7477-213.96329j
2009-01-01 00:00:05.074600 PST,+4850.5787-214.17406j
2009-01-01 00:00:05.074800 PST,+4850.4164-214.38011j
2009-01-01 00:00:05.075000 PST,+4850.2609-214.58142j
2009-01-01 00:00:05.075200 PST,+4850.1125-214.77796j
2009-01-01 00:00:05.075400 PST,+4849.9713-214.96968j
2009-01-01 00:00:05.075600 PST,+4849.8376-215.15656j
2009-01-01 00:00:05.075800 PST,+4849.7115-215.33856j
2009-01-01 00:00:05.076000 PST,+4849.5932-215.51562j
2009-01-01 00:00:05.076200 PST,+4849.4827-215.6877j
2009-01-01 00:00:05.076400 PST,+4849.3803-215.85475j
2009-01-01 00:00:05.076600 PST,+4849.286-216.01672j
2009-01-01 00:00:05.076800 PST,+4849.2-216.17354j
2009-01-01 00:00:05.077000 PST,+4849.1223-216.32517j
2009-01-01 00:00:05.077200 PST,+4849.0531-216.47154j
2009-01-01 00:00:05.077400 PST,+4848.9925-216.61258j
2009-01-01 00:00:05.077600 PST,+4848.9405-216.74824j
2009-01-01 00:00:05.077800 PST,+4848.8971-216.87844j
2009-01-01 00:00:05.078000 PST,+4848.8625-217.00311j
2009-01-01 00:00:05.078200 PST,+4848.8367-217.12218j
2009-01-01 00:00:05.078400 PST,+4848.8197-217.23559j
2009-01-01 00:00:05.078600 PST,+4848.8115-217.34324j
2009-01-01 00:00:05.078800 PST,+4848.8121-217.44508j
2009-01-01 00:00:05.079000 PST,+4848.8216-217.54101j
2009-01-01 00:00:05.079200 PST,+4848.84-217.63097j
2009-01-01 00:00:05.079400 PST,+4848.8672-217.71487j
2009-01-01 00:00:05.079600 PST,+4848.9032-217.79263j
2009-01-01 00:00:05.079800 PST,+4848.948-217.86416j
2009-01-01 00:00:05.080000 PST,+4849.0016-217.9294j
