# file...... Gen_1_Speed.csv
# date...... Thu Jul 19 18:31:22 2018
# user...... thek306
# host...... (null)
# target.... diesel_dg 306
# trigger... (none)
# interval.. -1
# limit..... 0
# timestamp,rotor_speed,rotor_angle,flux1d,flux2q,EpRotated,VintRotated,Eint_A,Eint_B,Eint_C,Irotated,pwr_electric.real,pwr_electric.imag,pwr_mech,torque_mech,torque_elec
2001-08-01 13:00:11.380000 PDT,+376.989454847,+0.274364627159,+0.974442922736,-0.26816350326,+0.246133818393+1.0187094083j,+0.251200645913+0.997318891786j,+2466.83481939+68.154128959j,-1174.39420264-2170.41868501j,-1292.44061675+2102.26455605j,+0.14845919925+0.109533641825j,+731598.166268,+559357.405356,+732673.146798,+1943.48445926,+1943.45511866
2001-08-01 13:00:11.390000 PDT,+376.989466695,+0.274331474147,+0.974450657995,-0.268130831023,+0.246101608715+1.01871442223j,+0.251168329846+0.997325220718j,+2466.83068953+68.1511016914j,-1174.39475941-2170.41359482j,-1292.43593013+2102.26249313j,+0.148450751804+0.109535693591j,+731577.306444,+559337.717201,+732652.189545,+1943.42880709,+1943.39968221
2001-08-01 13:00:11.400000 PDT,+376.989478456,+0.274298557223,+0.974458331709,-0.268098390708,+0.24606962829+1.01871938708j,+0.251136243646+0.997331494552j,+2466.82656824+68.1480904149j,-1174.3953066-2170.40852003j,-1292.43126164+2102.26042962j,+0.148442340867+0.10953772665j,+731556.542328,+559318.05905,+732631.328596,+1943.37341084,+1943.34450002
2001-08-01 13:00:11.410000 PDT,+376.98949013,+0.274265874655,+0.974465944359,-0.268066180613,+0.246037875428+1.01872430327j,+0.251104385621+0.997337713731j,+2466.82245549+68.1450950417j,-1174.3958443-2170.4034606j,-1292.42661119+2102.25836556j,+0.148433966231+0.109539741172j,+731535.873433,+559298.430924,+732610.563462,+1943.31826919,+1943.2895708
2001-08-01 13:00:11.420000 PDT,+376.989501719,+0.274233424721,+0.974473496424,-0.268034199047,+0.246006348456+1.01872917121j,+0.251072754092+0.997343878694j,+2466.81835127+68.1421154851j,-1174.39637256-2170.39841647j,-1292.42197871+2102.25630098j,+0.148425627684+0.109541737322j,+731515.299283,+559278.832849,+732589.893657,+1943.26338085,+1943.23489326
2001-08-01 13:00:11.430000 PDT,+376.989513223,+0.274201205714,+0.974480988376,-0.268002444333,+0.24597504571+1.01873399128j,+0.251041347393+0.997349989874j,+2466.81425558+68.139151659j,-1174.39689146-2170.39338758j,-1292.41736412+2102.25423592j,+0.148417325024+0.109543715267j,+731494.819397,+559259.264859,+732569.318695,+1943.20874454,+1943.18046614
2001-08-01 13:00:11.440000 PDT,+376.989524643,+0.274169215941,+0.974488420686,-0.267970914806,+0.24594396554+1.01873876388j,+0.251010163872+0.997356047705j,+2466.81016839+68.1362034778j,-1174.39740107-2170.38837388j,-1292.41276732+2102.2521704j,+0.148409058042+0.10954567517j,+731474.433304,+559239.726969,+732548.838102,+1943.15435899,+1943.12628814
2001-08-01 13:00:11.450000 PDT,+376.989535978,+0.274137453719,+0.974495793819,-0.267939608814,+0.24591310631+1.01874348941j,+0.250979201886+0.997362052614j,+2466.8060897+68.1332708569j,-1174.39790144-2170.38337532j,-1292.40818825+2102.25010446j,+0.148400826535+0.109547617197j,+731454.140525,+559220.219212,+732528.451397,+1943.10022292,+1943.07235807
2001-08-01 13:00:11.460000 PDT,+376.989547231,+0.27410591738,+0.974503108237,-0.267908524717,+0.245882466395+1.01874816825j,+0.250948459809+0.997368005025j,+2466.80201948+68.1303537123j,-1174.39839266-2170.37839183j,-1292.40362682+2102.24803812j,+0.148392630298+0.109549541509j,+731433.940594,+559200.741599,+732508.15811,+1943.04633508,+1943.01867463
2001-08-01 13:00:11.470000 PDT,+376.989558401,+0.27407460527,+0.974510364398,-0.26787766089,+0.245852044181+1.0187528008j,+0.250917936024+0.997373905359j,+2466.79795773+68.1274519604j,-1174.39887477-2170.37342338j,-1292.39908296+2102.24597142j,+0.148384469133+0.109551448266j,+731413.833045,+559181.294171,+732487.957772,+1942.99269422,+1942.96523663
2001-08-01 13:00:11.480000 PDT,+376.98956949,+0.274043515744,+0.974517562758,-0.267847015716,+0.245821838069+1.01875738743j,+0.250887628928+0.997379754033j,+2466.79390444+68.1245655187j,-1174.39934786-2170.3684699j,-1292.39455658+2102.24390438j,+0.148376342839+0.109553337628j,+731393.817421,+559161.876926,+732467.849921,+1942.93929912,+1942.9120428
2001-08-01 13:00:11.490000 PDT,+376.989580497,+0.274012647172,+0.974524703767,-0.267816587595,+0.245791846471+1.01876192853j,+0.250857536929+0.997385551462j,+2466.78985958+68.1216943048j,-1174.39981197-2170.36353134j,-1292.39004761+2102.24183704j,+0.148368251217+0.109555209752j,+731373.893266,+559142.489901,+732447.834093,+1942.88614855,+1942.85909195
2001-08-01 13:00:11.500000 PDT,+376.989591423,+0.273981997937,+0.974531787871,-0.267786374935,+0.245762067811+1.01876642446j,+0.250827658449+0.997391298057j,+2466.78582315+68.1188382377j,-1174.40026718-2170.35860766j,-1292.38555596+2102.23976942j,+0.148360194068+0.109557064797j,+731354.060115,+559123.133102,+732427.909829,+1942.83324127,+1942.80638287
2001-08-01 13:00:11.510000 PDT,+376.98960227,+0.273951566432,+0.974538815516,-0.267756376159,+0.245732500525+1.01877087561j,+0.250797991921+0.997396994223j,+2466.78179512+68.1159972364j,-1174.40071355-2170.35369879j,-1292.38108157+2102.23770155j,+0.148352171201+0.109558902922j,+731334.317525,+559103.806548,+732408.076675,+1942.78057608,+1942.75391441
2001-08-01 13:00:11.520000 PDT,+376.989613037,+0.273921351066,+0.97454578714,-0.267726589702,+0.245703143061+1.01877528234j,+0.250768535788+0.997402640366j,+2466.7777755+68.1131712207j,-1174.40115114-2170.34880468j,-1292.37662436+2102.23563346j,+0.148344182415+0.109560724277j,+731314.66504,+559084.510265,+732388.33418,+1942.72815179,+1942.70168532
2001-08-01 13:00:11.530000 PDT,+376.989623726,+0.273891350256,+0.974552703181,-0.267697014008,+0.245673993878+1.01877964503j,+0.250739288508+0.997408236886j,+2466.77376426+68.1103601113j,-1174.40158001-2170.34392529j,-1292.37218425+2102.23356518j,+0.148336227521+0.109562529017j,+731295.102234,+559065.244258,+732368.681898,+1942.67596721,+1942.64969443
2001-08-01 13:00:11.540000 PDT,+376.989634336,+0.273861562434,+0.97455956407,-0.267667647537,+0.245645051449+1.01878396402j,+0.250710248549+0.997413784179j,+2466.76976139+68.1075638291j,-1174.40200023-2170.33906056j,-1292.36776116+2102.23149674j,+0.148328306327+0.109564317294j,+731275.628652,+559046.00855,+732349.119382,+1942.62402114,+1942.59794059
2001-08-01 13:00:11.550000 PDT,+376.989644869,+0.273831986043,+0.974566370237,-0.267638488756,+0.245616314257+1.01878823969j,+0.250681414392+0.99741928264j,+2466.76576687+68.1047822957j,-1174.40241185-2170.33421045j,-1292.36335502+2102.22942815j,+0.14832041864+0.10956608926j,+731256.243853,+559026.803146,+732329.646192,+1942.57231242,+1942.54642261
2001-08-01 13:00:11.560000 PDT,+376.989655325,+0.273802619538,+0.974573122108,-0.267609536149,+0.245587780796+1.0187924724j,+0.250652784527+0.99742473266j,+2466.7617807+68.1020154332j,-1174.40281494-2170.32937489j,-1292.35896576+2102.22735945j,+0.148312564271+0.109567845066j,+731236.947421,+559007.628058,+732310.261891,+1942.52083989,+1942.49513937
2001-08-01 13:00:11.570000 PDT,+376.989665704,+0.273773461385,+0.974579820106,-0.267580788207,+0.245559449572+1.01879666249j,+0.250624357458+0.997430134626j,+2466.75780285+68.0992631645j,-1174.40320955-2170.32455384j,-1292.35459331+2102.22529067j,+0.148304743033+0.109569584859j,+731217.738886,+558988.48331,+732290.966037,+1942.46960237,+1942.4440897
2001-08-01 13:00:11.580000 PDT,+376.989676008,+0.273744510063,+0.974586464649,-0.267552243434,+0.245531319103+1.01880081032j,+0.250596131699+0.997435488923j,+2466.75383332+68.0965254129j,-1174.40359574-2170.31974724j,-1292.35023758+2102.22322183j,+0.148296954738+0.109571308786j,+731198.61787,+558969.368898,+732271.758206,+1942.41859873,+1942.39327244
2001-08-01 13:00:11.590000 PDT,+376.989686237,+0.273715764062,+0.974593056152,-0.267523900347,+0.245503387918+1.01880491624j,+0.250568105777+0.997440795931j,+2466.74987208+68.0938021024j,-1174.40397358-2170.31495506j,-1292.3458985+2102.22115296j,+0.148289199202+0.109573016995j,+731179.583915,+558950.284839,+732252.637962,+1942.36782781,+1942.3426865
2001-08-01 13:00:11.600000 PDT,+376.98969639,+0.273687221884,+0.974599595029,-0.267495757473,+0.245475654556+1.0188089806j,+0.250540278227+0.997446056028j,+2466.74591913+68.0910931576j,-1174.40434312-2170.31017723j,-1292.34157601+2102.21908407j,+0.14828147624+0.109574709634j,+731160.636594,+558931.231143,+732233.604881,+1942.31728849,+1942.29233077
2001-08-01 13:00:11.610000 PDT,+376.98970647,+0.273658882041,+0.974606081687,-0.267467813348,+0.24544811757+1.01881300373j,+0.250512647599+0.997451269591j,+2466.74197445+68.0883985033j,-1174.40470442-2170.30541371j,-1292.33727003+2102.21701521j,+0.148273785667+0.109576386841j,+731141.775504,+558912.207815,+732214.658542,+1942.26697964,+1942.24220407
2001-08-01 13:00:11.620000 PDT,+376.989716477,+0.273630743058,+0.974612516533,-0.267440066523,+0.245420775521+1.01881698599j,+0.250485212451+0.997456436989j,+2466.73803803+68.0857180653j,-1174.40505754-2170.30066445j,-1292.3329805+2102.21494638j,+0.148266127305+0.109578048765j,+731123.000223,+558893.214872,+732195.798521,+1942.21690014,+1942.19230537
2001-08-01 13:00:11.630000 PDT,+376.98972641,+0.273602803472,+0.974618899968,-0.267412515558,+0.245393626981+1.0188209277j,+0.250457971354+0.997461558593j,+2466.73410985+68.0830517697j,-1174.40540253-2170.2959294j,-1292.32870733+2102.21287763j,+0.148258500969+0.109579695543j,+731104.310332,+558874.252303,+732177.024403,+1942.16704889,+1942.14263349
2001-08-01 13:00:11.640000 PDT,+376.989736271,+0.273575061827,+0.974625232392,-0.267385159024,+0.245366670536+1.0188248292j,+0.250430922888+0.997466634768j,+2466.7301899+68.0803995429j,-1174.40573944-2170.2912085j,-1292.32445045+2102.21080896j,+0.148250906481+0.109581327319j,+731085.705427,+558855.320122,+732158.335774,+1942.11742478,+1942.09318741
